Part_Number,Supplier,Description,Supplier_Location_Code,Added,Last_Modification,,,,,
20404,GEMALTO INC,VODAPHONE SECURE ELEMENT,80027067,default,,,,,,
1573681,SONTER SA,SHAFTLESS STEPPER MOTOR,80002232,default,,,,,,
1730891,CLARION TECHNOLOGIES,RNG. U388 LIGHT DOM LCLN,80033456,default,,,,,,
1840110,CLARION TECHNOLOGIES,RNG.U502 CLSTR LIGHT DOM,80033456,default,,,,,,
1864198,IMPRENTA OCHOA SA DE CV,LABEL.CD334/8 BARCODE,80012639,default,,,,,,
1949433,FOSTER ELECTRIC,SPEAKER 30MM 45 OHM W/ME,80033457,default,,,,,,
2285792,CHIN POON INDUSTRIAL CO LTD,FAB.U38X/U50213 BSE PCB,80004049,default,,,,,,
2838989,HENKEL,GAP FILLER TYP BERGQUIS,80004875,default,,,,,,
2838989,HENKEL,GAP FILLER TYP BERGQUIS,80004875,default,,,,,,
00015494-010000,RAVAGO SA,BLACK RESIN ABS DI S197,,80018508,default,,,,,
00081872-02JA6A,RAVAGO SA,HIGH HEAT ABS - MAGNUM,80018508,default,,,,,,
00110805-0100001,RAVAGO SA,MAGNUM 3325MT (NATURAL),80018508,default,,,,,,
00118432-010000,POLYONE,SPARTECH F5134T4-1 - BLA,80015005,default,,,,,,
00118432-010000,POLYONE CORPORATION,SPARTECH F5134T4-1 - BLA,80015005,default,,,,,,
00134934-01S673,A. SCHULMAN,20% TF PP ZHE BLACK,80029235,default,,,,,,
00135794-010000,ARKEMA,PLEXIGLASV825 58319(NA),80014537,default,,,,,,
00164028-010000,OTTO KRAHN GMBH & CO KG,ALCOM AWL 109/15,80031272,default,,,,,,
00164028-010000,OTTO KRAHN GMBH & CO KG,ALCOM AWL 109/15,80031272,default,,,,,,
00203307-010000,ARKEMA,PLEXIGLASV825 58328(NA),80014537,default,,,,,,
00221503-01,EJOTATF FASTENERS DE MEXICO Y COMPANIA S EN C,SCREW-4.2X8 HOUSING TO,80004621,default,,,,,,
00226996-01,LEONHARD KURZ,SM1128 SEMI CHROME HOT,80027074,default,,,,,,
00254477-010000,EVONIK INDUSTRIES,EVONIK ACRYLITE 8N SUPU,80031235,default,,,,,,
00254477-010000,EVONIK INDUSTRIES,EVONIK ACRYLITE 8N SUPU,80031235,default,,,,,,
00254477-010000,EVONIK INDUSTRIES,EVONIK ACRYLITE 8N SUPU,80031235,default,,,,,,
00327518-010000,DELO INDUSTRIAL ADHESIVES,ADHESIVE - DELO PHOTOBO,80020915,default,,,,,,
00328186-010000,HIS COMPANY, INC,ELASTOSIL RT 724 (PART,80031186,default,,,,,
00331961-010000,DELO INDUSTRIAL ADHESIVES,DELO-PUR SJ9355 2K (BLA,80020915,default,,,,,,
00334474-010000,HIS COMPANY, INC,ELASTOSIL CAT UV (PART,80031186,default,,,,,
00335020-010000,NAGASE GROUP,LOCA - SN3001 PART B,80030533,default,,,,,,
00335379-010000,NAGASE GROUP,LOCA - SN3001 PART A,80030533,default,,,,,,
00335592-0100001,UNIFORM COLOR COMPANY,ADDITIVE, BLACK-FORD JA,80000341,default,,,,,
00339172-010000,EVONIK INDUSTRIES,SMOKED RESIN,80031235,default,,,,,,
00339172-010000,EVONIK INDUSTRIES,SMOKED RESIN,80031235,default,,,,,,
00339172-010000,EVONIK INDUSTRIES,SMOKED RESIN,80031235,default,,,,,,
00353770-010000,ARKEMA,PMMA (PLEXIGLAS V825-58,80014537,default,,,,,,
00364639-010000,DELO INDUSTRIAL ADHESIVES,DELO DUALBOND AD4950,ONE,80020915,default,,,,,
191781-02,MOORE CANADA,BLANK LABEL,80024565,default,,,,,,
1B5F-10B885-AB,KEY PLASTICS LLC,LENS W/ DIMMING HOLE,80004997,default,,,,,,
1C3F-14A615-CD,KINGBOARD CHEMICAL HOLDINGS LTD.,BD-PRTD WIRING MOTHER P,80007650,default,,,,,,
1L2F-14A615-ME,KINGBOARD CHEMICAL HOLDINGS LTD.,BD - PRT WIR MULTI,80005111,default,,,,,,
1L7H-14A615-AB,TTM TECHNOLOGIES, INC.,BD PRT WIRING - MULTIPLE,80033720,default,,,,,
1L7H-14A615-AB,VIASYSTEMS INC,BD PRT WIRING - MULTIPLE,80033720,default,,,,,,
1S7F-18B921-VA,MOUSER ELECTRONICS,CONN P/T - PIN HEADERS,6,80034477,default,,,,,
1W7H-13B765-AA,SG ELECTRONICS,BULB & SOCKET ASS'Y,80004952,default,,,,,,
2C3F-14A615-AB,GUL TECHNOLOGIES,PWB MOTHER PANEL #9532 P,80005100,default,,,,,,
2C3H-10D922-AA,FUTABA CORPORATION,VF DISPLAY (U137),80021729,default,,,,,,
2C3H-14A615-AB,VIASYSTEMS INC,BOARD - PRINTED WIRING,,80018195,default,,,,,
2L1F-18B890-JA,FUTURE ELECTRONICS,DDPAK HEAT SINK,80014653,default,,,,,,
2L1H-14A638-AA,FORJASUL ELETRIK,HEAT SINK, EXP/NAV,80005139,default,,,,,
2L1T-14A624-AA,MOLEX,CONNECTOR PHASE 2,80004914,default,,,,,,
2L1T-14A624-CA,MOLEX,CONNECTOR BACK BEETHOVEE,80004914,default,,,,,,
2L1T-14A624-HA,MOLEX,6-PIN CONNECTOR/HEADER,80004914,default,,,,,,
2M5F-10B975-DA,SONTER SA,STEPPER MOTOR,80002232,default,,,,,,
2M5F-10D980-AA,CELOPLÁS - PLÁSTICOS PARA A INDÚSTRIA, S.A.,LCD REFLECTOR,80005007,default,,,,,
2W1H-10D922-AA,FUTABA CORPORATION,DATC VF DISPLAY,80021729,default,,,,,,
2W1H-14A615-AD,TTM TECHNOLOGIES, INC.,BOARD - PRINTED WIRING,,80033720,default,,,,
3C3F-14A615-AB,TTM TECHNOLOGIES, INC.,PWB PANEL P131/U137 GEM,80033720,default,,,,,
3C3F-14A615-AB,VIASYSTEMS INC,PWB PANEL P131/U137 GEM,80033720,default,,,,,,
3C3F-18B968-AA,GENERAL LABELS & PRINTING LLC,SMD,BOARD,LABEL,IDENT.,R,80012402,default,,
3F2H-18B914-AC,PANASONIC CORPORATION,POTENTIOMETER, 10K, NON-,80016009,default,,,,
3F2H-18B914-BD,PANASONIC CORPORATION,ELEC,POT,PWB-SMD-ROT,80016009,default,,,,
3F2H-19D965-AA,TASUS CANADA CORPORATION,SEAL A/C AIR TEMP CNTRL,80016675,default,,,,,,
